"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"State","Alaska",,"AK",,,,9.79166666666667,,,,253500,-0.0394321766561514,8.33333333333333,,11.5,0.129059857304973,0.0210398963296448,87
"State","Alabama",,"AL",,,,3.75,73.9163,4.9796,2.9426,121700,0.164609053497942,-3.4892942109437,0.022366474938373,16.9,0.191924748053688,0.0395938759679198,126
"State","Arkansas",,"AR",,,,6.875,72.9264,5.9825,3.0995,113000,0.355239786856128,6.4030131826742,0.0335663716814159,24.8,0.171788311502018,0.0422442232125972,116
"State","Arizona",,"AZ",,,,4.79166666666667,79.9575,10.7207,4.3161,189100,0.638637573177222,4.07264722069345,0.0313326282390269,66.6,0.225594252458498,0.0351422821024253,88
"State","California",,"CA",,,,7.29166666666667,86.6943,7.2177,2.6368,434200,0.393063583815029,8.03682508086589,0.0359765085214188,45.9,0.126327467290427,0.0558144807305435,70
"State","Colorado",,"CO",,,,9.375,89.2553,5.1038,2.0987,254000,0.713719270420301,7.85562632696391,0.0336968503937007,49,0.113231235069946,0.026636199627892,65
"State","Connecticut",,"CT",,,,0.416666666666667,71.5601,8.0591,2.7173,239800,0,0.629458665547629,0.00161384487072569,44.6,0.186159803994665,0.0873908175933816,122.5
"State","District of Columbia",,"DC",,,,8.95833333333333,90.9452,1.3014,0.6247,470200,0.448622089297159,5.97250394410638,,33.7,0.125347758887172,0.0976572133168927,57
"State","Delaware",,"DE",,,,5,72.3311,1.8363,0.7739,205400,0.146270112140419,4.58248472505092,0.0298977604673807,7.9,0.186826587086586,0.0893178223918501,109
"State","Florida",,"FL",,,,1.66666666666667,74.0582,,,167500,0.540216086434574,10.5610561056106,0.0233134328358209,96.2,0.216388935314565,0.119166535369123,105
"State","Georgia",,"GA",,,,4.375,68.7293,,,138800,0.652646845540247,7.68037238169123,0.0371181556195965,55,0.25150702505376,0.0491397515063377,105
"State","Hawaii",,"HI",,,,9.58333333333333,86.267,3.4895,1.0244,533200,0.584795321637427,9.01656103046412,0.0482670667666916,39.7,0.0763457287730834,0.0990847645631608,84
"State","Iowa",,"IA",,,,7.5,84.7125,2.1208,1.0911,128200,-0.0779423226812159,0.94488188976378,0.0241185647425897,9.2,0.154765153604417,0.0292080766513889,97
"State","Idaho",,"ID",,,,8.75,,,,165700,0.181378476420798,4.41083805923125,0.0422027761013881,16.4,0.199855284183735,0.028655033944045,84
"State","Illinois",,"IL",,,,0.625,67.1823,,,156300,0.192307692307692,4.54849498327759,0.0211900191938579,74.7,0.237931899747741,0.0676669260616092,111
"State","Indiana",,"IN",,,,2.5,,,,110800,0.271493212669683,1.65137614678899,0.0259476534296028,17.2,0.185135093747531,0.0461804695848159,102
"State","Kentucky",,"KY",,,,6.66666666666667,72.6572,1.0692,0.7782,126500,0.317208564631245,0.237717908082409,0.0149802371541501,4,0.153937414568003,0.0365929398648335,95
"State","Louisiana",,"LA",,,,5.20833333333333,,,,142500,0.422832980972516,-0.488826815642458,0.015221052631579,17.9,0.157212975479587,0.0455801568874359,104
"State","Massachusetts",,"MA",,,,5.625,79.2031,5.622,1.7869,330000,0.45662100456621,5.33035429300989,0.0152727272727273,17.1,0.111995663721938,0.0822342043381596,83
"State","Maryland",,"MD",,,,0.208333333333333,76.8635,12.125,8.5604,255200,0.156985871271586,4.80492813141684,0.0169043887147335,58.5,0.225819962702608,0.0908957727483574,115
"State","Michigan",,"MI",,,,4.58333333333333,77.6816,,,118000,0.340136054421769,2.25303292894281,0.0738983050847457,79.5,0.209844685241477,0.0379283948208641,100
"State","Minnesota",,"MN",,,,1.45833333333333,75.945,8.3402,3.3006,179100,0.336134453781513,2.63610315186246,0.00794528196538247,37.9,0.152121784630005,0.0310048890295574,92
"State","Missouri",,"MO",,,,3.54166666666667,,,,127900,0.392464678178964,3.22841000807102,0.0242220484753715,46.6,0.217395805565939,0.0352518420760776,94
"State","Mississippi",,"MS",,,,4.16666666666667,,,,112200,0.178571428571429,-0.707964601769911,0.0275401069518717,2.1,0.172550946266719,0.0493734739872696,114.5
"State","Montana",,"MT",,,,6.25,,,,180000,0.22271714922049,-10.6699751861042,-0.0279222222222222,9,0.131094711304605,0.0215516167510188,90.5
"State","North Carolina",,"NC",,,,1.875,74.2475,7.3895,4.2086,146600,0.136612021857924,0.964187327823691,0.0261050477489768,29.2,0.166418188785089,0.0495162529643173,110
"State","North Dakota",,"ND",,,,2.29166666666667,,,,188900,-0.105764145954521,-1.15122972265829,-0.0121651667548968,9.7,0.0772498606506782,0.0114460385848279,71
"State","Nebraska",,"NE",,,,10,85.1698,1.5315,1.4946,133400,0.451807228915663,5.87301587301587,0.0307346326836582,7.3,0.11979691119406,0.0221855893669036,78
"State","New Hampshire",,"NH",,,,9.16666666666667,77.1088,,,218400,0.413793103448276,6.27737226277372,0.0342353479853479,19.8,0.166108773099558,0.0374060127683081,105
"State","New Jersey",,"NJ",,,,2.08333333333333,74.3303,2.9286,1.9318,287600,0.139275766016713,6.24307351311415,0.0147322670375523,27.7,0.176171046181378,0.177868074329678,134
"State","New Mexico",,"NM",,,,3.33333333333333,,,,165500,0.424757281553398,-1.3118664281455,0.0165377643504532,20.4,0.221035641336238,0.0595884935962395,115
"State","Nevada",,"NV",,,,3.125,77.1175,12.4367,7.1268,193000,0.678142931664058,12.0139291932676,0.0553834196891192,76.8,0.263252761001804,0.101892145881166,85
"State","New York",,"NY",,,,5.41666666666667,84.459,2.3876,1.7729,254600,0.236220472440945,3.74898125509372,0.0139552238805971,29.2,0.124406996235872,0.142261285871496,145
"State","Ohio",,"OH",,,,0.833333333333333,72.6848,9.0674,6.2985,115500,0.260416666666667,5.38321167883212,0.0230909090909091,41.9,0.194064962196385,0.0507014486002955,97
"State","Oklahoma",,"OK",,,,7.91666666666667,83.2575,3.3175,1.1391,110900,0.543970988213962,3.93626991565136,0.0275202885482417,42.2,0.138687054644817,0.0404680381433964,88
"State","Oregon",,"OR",,,,7.08333333333333,81.6432,5.2523,4.5756,239300,0.546218487394958,5.55800617556242,0.0371458420392812,27.3,0.142479938820825,0.067872402254432,86
"State","Pennsylvania",,"PA",,,,2.91666666666667,82.3984,7.6387,4.4098,152200,0.263504611330698,3.96174863387978,0.0194480946123521,27.6,0.153105781890957,0.0632117948396564,111
"State","Rhode Island",,"RI",,,,1.04166666666667,71.8087,5.1672,3.4167,222400,0.36101083032491,4.2174320524836,0.0189433453237411,42.6,0.193383142692971,0.0682355487400589,115
"State","South Carolina",,"SC",,,,1.25,75.2703,10.217,4.0874,133500,0.300525920360631,4.13416536661466,0.0241573033707865,37.6,0.165426379593158,0.0637998132791606,116
"State","South Dakota",,"SD",,,,8.54166666666667,,,,123200,0.244100895036615,-7.92227204783259,,4.9,0.120954240421867,0.0207162160059614,
"State","Tennessee",,"TN",,,,5.83333333333333,,,,127200,0.394632991318074,5.91174021648626,0.0258333333333334,43,0.167961526771824,0.0410219798273561,103
"State","Texas",,"TX",,,,8.125,,,,136700,0.367107195301028,7.04776820673453,0.0330285296269202,40.2,0.101744646029921,0.03953759876413,71
"State","Utah",,"UT",,,,3.95833333333333,,,,207200,0.14499758337361,1.171875,0.0320366795366795,37.1,0.202309826020795,0.0279666130272616,84
"State","Virginia",,"VA",,,,7.70833333333333,78.4393,5.0545,2.3756,233000,0.431034482758621,5.04959422903517,0.00815450643776816,12,0.180746409005408,0.0372549043814703,91
"State","Vermont",,"VT",,,,6.45833333333333,86.7966,2.7598,1.5276,221500,0.135623869801085,1.41941391941392,0.00701128668171558,19.1,,,126
"State","Washington",,"WA",,,,6.04166666666667,82.8062,8.0261,5.6748,262700,0.612792033703562,6.78861788617886,0.0484012181195279,39.5,0.167371153971319,0.0598425404239779,82
"State","Wisconsin",,"WI",,,,2.70833333333333,77.8187,4.2915,3.0197,154000,0.0649772579597141,-0.323624595469256,0.0207272727272727,27.6,0.167686598777444,0.0394706415630475,110
"State","West Virginia",,"WV",,,,8.33333333333333,91.5186,3.9855,0.9784,94800,-1.45530145530146,-10.0569259962049,-0.0075949367088608,3.4,0.152673906800913,0.0299932987182922,117
